,player_id,name_first,name_last,country,current_elo,matches_played,peak_elo,peak_elo_date
3284,103285,Radek,Stepanek,CZE,1793.258862,683,1961.084397,20100103
3343,103344,Ivan,Ljubicic,CRO,1793.125771,691,1991.450388,20060417
54206,202103,Francisco,Cerundolo,ARG,1792.858205,60,1926.316502,20220718
52324,200221,Alejandro,Davidovich Fokina,ESP,1790.837962,133,1937.043959,20210510
6203,106218,Marcos,Giron,USA,1787.286845,117,1881.666715,20211101
23739,123755,Daniel Elahi,Galan,COL,1786.836194,72,1803.979671,20210322
4540,104542,Jo-Wilfried,Tsonga,FRA,1783.517214,714,2119.931225,20120116
4336,104338,Juan,Monaco,ARG,1776.746766,617,1978.49169,20120725
3897,103898,Julien,Benneteau,FRA,1776.045713,570,1875.939064,20130211
5901,105916,Marton,Fucsovics,HUN,1775.653509,252,1914.231621,20190225
4595,104597,Nicolas,Almagro,ESP,1770.457725,679,2007.511265,20120914
5514,105526,Jan Lennard,Struff,GER,1766.719006,377,1951.820508,20190701
11440,111456,Mackenzie,Mcdonald,USA,1764.131162,151,1857.944966,20220321
44801,144817,Marc Andrea,Huesler,SUI,1763.327535,37,1833.49346,20220926
11497,111513,Laslo,Djere,SRB,1762.162536,204,1842.491892,20190527
5069,105077,Albert,Ramos,ESP,1761.913546,563,1884.711765,20170424
3497,103498,Marat,Safin,RUS,1761.87906,586,1983.690841,20000501
5564,105577,Vasek,Pospisil,CAN,1761.200522,308,1895.480717,20201109
5654,105668,Jerzy,Janowicz,POL,1758.225464,198,1934.363965,20130715
4920,104926,Fabio,Fognini,ITA,1755.948906,771,1987.18081,20140413
4258,104259,Philipp,Kohlschreiber,GER,1752.06539,882,1973.059994,20160425
5933,105948,Federico,Coria,ARG,1751.956877,84,1779.612896,20220418
32267,132283,Lorenzo,Sonego,ITA,1751.119549,190,1902.160904,20210621
6043,106058,Jack,Sock,USA,1745.184872,330,2056.580451,20170320
22653,122669,Juan Pablo,Varillas,PER,1743.867584,35,1743.867584,20220917
3016,103017,Nicolas,Kiefer,GER,1742.675816,438,1884.121806,20080623
26830,126846,Aleksandar,Vukic,AUS,1741.816168,19,1741.816168,20220926
4569,104571,Marcos,Baghdatis,CYP,1741.199948,624,2009.350905,20070430
6408,106423,Thanasi,Kokkinakis,AUS,1740.874414,111,1849.437735,20220516
3719,103720,Lleyton,Hewitt,AUS,1740.843473,799,2068.583734,20050117
3916,103917,Nicolas,Mahut,FRA,1740.780083,407,1836.334899,20130916
3263,103264,Mariano,Puerta,ARG,1740.338215,167,1830.731658,20050523
11185,111200,Elias,Ymer,SWE,1739.633128,93,1739.633128,20220304
3162,103163,Tommy,Haas,GER,1739.12104,730,1990.320824,20010219
5437,105449,Steve,Johnson,USA,1737.174412,397,1925.739891,20160815
11778,111794,Kamil,Majchrzak,POL,1737.080518,69,1737.080518,20220916
4466,104468,Gilles,Simon,FRA,1736.281653,904,1959.04032,20150810
4025,104026,Joachim,Johansson,SWE,1735.834495,133,1871.255836,20040119
59933,207830,Tomas,Machac,CZE,1735.701364,17,1775.410299,20220117
5990,106005,Constant,Lestienne,FRA,1735.663216,18,1749.651568,20221010
4179,104180,Gilles,Muller,LUX,1734.313586,445,1986.459035,20170703
5563,105575,Ricardas,Berankis,LTU,1731.319972,283,1850.399105,20130225
5015,105023,Sam,Querrey,USA,1729.69627,718,1944.992334,20121029
4075,104076,Jose,Acasuso,ARG,1729.607014,376,1814.533439,20060213
11426,111442,Jordan,Thompson,AUS,1729.212985,198,1817.888536,20190610
5642,105656,Marcelo,Arevalo,ESA,1727.952422,45,1768.501045,20180203
2449,102450,Tim,Henman,GBR,1727.729244,449,1954.795248,20020415
44703,144719,Jaume,Munar,ESP,1727.667018,153,1774.518451,20190422
2147,102148,Fabrice,Santoro,FRA,1727.462077,444,1805.151028,20070319
3565,103566,Michael,Llodra,FRA,1727.289651,410,1851.550858,20110310
6147,106162,Franco,Agamenone,ITA,1727.023819,5,1727.023819,20220725
3780,103781,Jurgen,Melzer,AUT,1726.561856,687,1933.175589,20110117
3785,103786,Nikolay,Davydenko,RUS,1726.45217,822,2093.61165,20100208
5717,105732,Pierre Hugues,Herbert,FRA,1722.90589,220,1891.809994,20190617
3989,103990,Tommy,Robredo,ESP,1720.212222,892,1918.635469,20141027
5708,105723,Andrey,Kuznetsov,RUS,1717.548353,179,1875.628691,20160919
58602,206499,Aleksandar,Kovacevic,USA,1717.258034,4,1717.258034,20220926
26198,126214,Alejandro,Tabilo,CHI,1716.844011,45,1765.969656,20220404
6133,106148,Roberto,Carballes Baena,ESP,1716.526295,171,1751.575117,20180205
3503,103504,Febi,Widhiyanto,INA,1716.465594,15,1716.465594,20060407
44734,144750,Lloyd,Harris,RSA,1715.644481,136,1973.116416,20210208
26630,126646,Tim,Van Rijthoven,NED,1715.584957,17,1922.602139,20220627
2862,102863,Takao,Suzuki,JPN,1715.309894,63,1715.309894,20090508
32670,132686,Nuno,Borges,POR,1714.101335,13,1714.101335,20220916
4618,104620,Simone,Bolelli,ITA,1711.795564,291,1832.386804,20150823
4893,104898,Robin,Haase,NED,1710.589175,502,1836.477999,20110821
59781,207678,Juan Manuel,Cerundolo,ARG,1709.736335,20,1757.797931,20220103
6063,106078,Egor,Gerasimov,BLR,1708.649421,116,1928.199989,20200120
4545,104547,Horacio,Zeballos,ARG,1706.556201,224,1790.449234,20170529
5071,105079,Ivan,Sergeyev,UKR,1705.09715,6,1705.09715,20100305
61312,209209,Filip,Misolic,AUT,1704.239164,7,1726.664301,20220725
6195,106210,Jiri,Vesely,CZE,1703.92074,307,1832.55293,20170529
33819,133835,Gijs,Brouwer,NED,1703.020897,5,1740.04895,20220829
2844,102845,Carlos,Moya,ESP,1702.944834,585,1971.771241,20040726
5866,105881,Matthew,Barton,AUS,1701.766258,8,1726.073656,20170109
2853,102854,Sjeng,Schalken,NED,1701.318046,322,1842.772351,20030825
5931,105946,Liang Chi,Huang,TPE,1701.145578,7,1701.145578,20160715
2562,102563,Thomas,Johansson,SWE,1700.341757,415,1871.897176,20050926
3812,103813,Jarkko,Nieminen,FIN,1699.154356,760,1849.766256,20060220
26111,126127,Benjamin,Bonzi,FRA,1698.578837,63,1842.575462,20220627
3483,103484,James,Blake,USA,1698.004159,620,1984.232159,20061113
6266,106281,Liam,Broady,GBR,1697.647095,38,1697.656252,20210405
